,food_class1
141,고구마
142,가오리찜
143,갈비찜
144,감자
145,깻잎찜
146,꼬막찜
147,꽈리고추찜
148,달걀찜
149,닭찜
150,돼지갈비찜
151,사태찜
152,수육
153,순대
154,아귀찜
155,애호박찜
156,옥수수
157,족발
158,코다리찜
159,콩나물찜
160,풋고추찜
161,가자미구이
162,갈비구이
163,갈치구이
164,고등어구이
165,곱창구이
166,김구이
167,꼬치구이
168,닭구이
169,닭발구이
170,떡갈비
171,런천미트구이
172,뱅어포구이
173,버섯구이
174,버섯구이표고버섯
175,삼겹살구이
176,삼치구이
177,새우구이
178,소불고기
179,스테이크
180,오리고기구이
181,오리불고기
182,장어구이
183,조개구이
184,조기구이
185,참치구이
186,치킨데리야끼
187,함박스테이크
188,가지전
189,감자전
190,고구마전
191,김치전
192,달걀말이
193,달걀부침(달걀후라이)
194,두부부침
195,맛살전
196,메밀전
197,버섯전
198,부추전
199,산적
200,스크램블드에그
201,애호박전
202,완자전
203,채소전
204,파전
205,감자볶음
206,건새우볶음
207,곱창볶음
208,김치볶음
209,낙지볶음
210,닭발볶음
211,닭볶음(닭갈비)
212,당근볶음
213,돼지고기볶음
214,돼지고기볶음(제육볶음)
215,떡볶이
216,라볶이
217,마늘쫑볶음
218,마파두부
219,멸치볶음
220,문어볶음
221,미역줄기볶음
222,버섯볶음
223,브로콜리볶음
224,삼겹살볶음
225,새우볶음
226,소고기볶음
227,소시지볶음
228,애호박볶음
229,양파볶음
230,어묵볶음
231,오징어볶음
232,유산슬
233,잔멸치볶음
234,잡채
235,죽순볶음
236,팔보채
237,풋고추볶음
238,햄볶음
239,감자조림
240,고등어조림
241,꽁치조림
242,닭볶음탕
243,닭조림
244,두부조림
245,땅콩조림
246,멸치조림
247,무조림
248,미트볼조림
249,버섯조림
250,병어조림
251,삼치조림
252,양미리조림
253,어묵조림
254,연근조림
255,오징어조림
256,오징어채조림
257,우엉조림
258,장조림
259,쥐포조림
260,코다리조림
261,콩조림(콩자반)
262,감자튀김
263,김튀김
264,다시마튀각
265,닭다리튀김
266,닭튀김
267,떡강정
268,미역튀각
269,탕수육
270,가지나물
271,고구마줄기나물
272,고사리나물무침
273,고춧잎나물무침
274,깻잎나물
275,냉이나물
276,도라지나물무침
277,머위대나물무침
278,무나물무침
279,방풍나물무침
280,배추나물
281,비름나물무침
282,숙주나물
283,시금치나물
284,시래기나물무침
285,씀바귀나물무침
286,열무나물
287,유채나물
288,참나물
289,취나물
290,콩나물무침
291,토란대나물무침
292,호박오가리나물무침
293,가죽나물무침
294,겉절이
295,골뱅이무침
296,굴무침
297,김무침
298,낙지무침
299,냉채
300,다시마무침
301,달래무침
302,도라지생채
303,두릅무침
304,마늘쫑무침
305,무말랭이무침
306,무생채
307,묵무침
308,물회
309,미나리무침
310,미역초무침
311,민들레잎무침
312,버섯무침
313,부추무침
314,북어채무침
315,샐러드
316,양장피
317,오이무침
318,오이생채
319,오이지무침
320,오징어무침
321,오징어채무침
322,톳나물무침
323,파래무침
324,파무침
325,풋고추된장무침
326,풋마늘무침
327,피조개무침
328,해초무침
329,회무침
330,돌나물무침
331,고들빼기김치
332,깍두기
333,깻잎김치
334,나박김치
335,동치미
336,물김치
337,보쌈김치
338,부추김치
339,얼갈이배추김치
340,오이김치
341,가자미식해
342,갈치젓
343,멸치젓
344,새우젓
345,오징어젓
346,꽃게장
347,단무지
348,더덕장아찌
349,매실장아찌
350,무짠지
351,무초절임(치킨무)
352,오이장아찌
353,오이지
354,미숫가루
355,육회
356,리소토/리조또
357,감자빵
358,건포도빵
359,계란빵
360,기타빵
361,깨찰빵
362,또띠아
363,롤빵
364,마카롱
365,바게트
366,버거
367,버터빵
368,번
369,소세지빵
370,스콘
371,앙금빵
372,야채빵
373,와플
374,찰떡빵
375,치아바타
376,치즈빵
377,크로켓(고로케)
378,크림빵
379,타르트
380,토스트
381,팥빵
382,프레즐
383,핫도그
384,허니브레드
385,호밀빵
386,효모빵
387,비스킷/쿠키/크래커
388,시리얼
389,웨이퍼
390,젤리
391,초콜릿
392,캔디
393,소금빵
394,크로플
395,닭다리구이
396,돼지갈비구이
397,감자그라탕
398,닭모래집튀김
399,돈가스
400,멘보샤
401,치즈볼
402,치즈스틱
403,닭껍데기튀김
404,닭발튀김
405,북어튀김
406,새우튀김
407,오징어튀김
408,우유튀김
409,소스/드레싱
410,카레소스
411,빙수
